number,name,image,area,rarity,price,north_season,south_season,time
1,モンシロチョウ,images/モンシロチョウ.png,花/空中,よくみかける,160ベル,1~6月、9~12月,3~12月,4~19時
2,モンキチョウ,images/モンキチョウ.png,花/空中,よくみかける,160ベル,3~6月、9~10月,3~4月、9~12月,4~19時
3,アゲハチョウ,images/アゲハチョウ.png,花/空中,よくみかける,240ベル,3~9月,1~3月、9~12月,4~19時
4,カラスアゲハ,images/カラスアゲハ.png,花(黒/紫/青),あまりみかけない,2500ベル,3~6月,9~12月,4~19時
5,アオスジアゲハ,images/アオスジアゲハ.png,花/空中,よくみかける,300ベル,4~8月,1~2月、10~12月,4~19時
6,オオゴマダラ,images/オオゴマダラ.png,花/空中,よくみかける,1000ベル,1年中,1年中,8~19時
7,オオムラサキ,images/オオムラサキ.png,花/空中,みかける,3000ベル,5~8月,1~2月、11~12月,4~19時
8,オオカバマダラ,images/オオカバマダラ.png,花/空中,みかける,140ベル,9~11月,3~5月,4~17時
9,モルフォチョウ,images/モルフォチョウ.png,花/空中,よくみかける,4000ベル,1~3月、6~8月、12月,1~3月、6~9月、12月,"0~8時,17~24時"
10,ミイロタテハ,images/ミイロタテハ.png,花/空中,みかける,3000ベル,4~9月,1~3月、10~12月,8~17時
11,アカエリトリバネアゲハ,images/アカエリトリバネアゲハ.png,花/空中,あまりみかけない,2500ベル,1~2月、4~9月、12月,1~3月、6~8月、10~12月,8~17時
12,アレキサンドラトリバネアゲハ,images/アレキサンドラトリバネアゲハ.png,花/空中,あまりみかけない,4000ベル,5~9月,1~3月、11~12月,8~16時
13,ガ,images/ガ.png,灯りの近く,よくみかける,130ベル,1年中,1年中,"0~4時,19~24時"
14,ヨナグニサン,images/ヨナグニサン.png,木/ヤシの木,みかける,3000ベル,4~9月,1~3月、10~12月,"0~4時,19~24時"
15,ニシキオオツバメガ,images/ニシキオオツバメガ.png,空中,みかける,2500ベル,4~9月,1~3月、10~12月,8~16時
16,ショウリョウバッタ,images/ショウリョウバッタ.png,地上,よくみかける,200ベル,4~11月,1~5月、10~12月,8~19時
17,トノサマバッタ,images/トノサマバッタ.png,地上,みかける,600ベル,8~11月,2~5月,8~19時
18,イナゴ,images/イナゴ.png,地上,みかける,400ベル,8~11月,2~5月,8~19時
19,キリギリス,images/キリギリス.png,地上,みかける,160ベル,7~9月,1~3月,8~17時
20,コオロギ,images/コオロギ.png,地上,よくみかける,130ベル,9~11月,3~5月,"0~8時,17~24時"
21,スズムシ,images/スズムシ.png,地上,よくみかける,430ベル,9~10月,3~4月,"0~8時,17~24時"
22,カマキリ,images/カマキリ.png,花の上,よくみかける,430ベル,3~11月,1~5月、9~12月,8~17時
23,ハナカマキリ,images/ハナカマキリ.png,花の上,みかける,2400ベル,3~11月,1~5月、9~12月,8~17時
24,ミツバチ,images/ミツバチ.png,花の近く,よくみかける,200ベル,3~7月,1月、9~12月,8~17時
25,ハチ,images/ハチ.png,木を揺する,みかける,2500ベル,1年中,1年中,一日中
26,アブラゼミ,images/アブラゼミ.png,木,よくみかける,250ベル,7~8月,1~2月,8~17時
27,ミンミンゼミ,images/ミンミンゼミ.png,木,よくみかける,300ベル,7~8月,1~2月,8~17時
28,クマゼミ,images/クマゼミ.png,木,よくみかける,500ベル,7~8月,1~2月,8~17時
29,ツクツクホウシ,images/ツクツクホウシ.png,木,よくみかける,400ベル,8~9月,2~3月,8~17時
30,ヒグラシ,images/ヒグラシ.png,木,よくみかける,550ベル,7~8月,1~2月,"4~8時,16~19時"
31,セミのぬけがら,images/セミのぬけがら.png,木,あまりみかけない,10ベル,7~8月,1~2月,一日中
32,アキアカネ,images/アキアカネ.png,空中,よくみかける,180ベル,9~10月,3~4月,8~19時
33,ギンヤンマ,images/ギンヤンマ.png,空中,よくみかける,230ベル,4~10月,1~4月、10~12月,8~17時
34,オニヤンマ,images/オニヤンマ.png,空中,みかける,4500ベル,5~10月,1~4月、11~12月,8~17時
35,イトトンボ,images/イトトンボ.png,空中,よくみかける,500ベル,1~2月、11~12月,5~8月,一日中
36,ホタル,images/ホタル.png,空中,よくみかける,300ベル,6月,12月,"0~4時,19~24時"
37,オケラ,images/オケラ.png,地中(掘ると出現),あまりみかけない,500ベル,1~5月、11~12月,5月~11月,一日中
38,アメンボ,images/アメンボ.png,水面,よくみかける,130ベル,5~9月,1~3月、11~12月,8~19時
39,ゲンゴロウ,images/ゲンゴロウ.png,水面,みかける,800ベル,5~9月,1~3月、11~12月,8~19時
40,タガメ,images/タガメ.png,水面,よくみかける,2000ベル,4~8月,1~3月、10~12月,"0~8時,19~24時"
41,カメムシ,images/カメムシ.png,花の上,よくみかける,120ベル,3~10月,1~4月、9~12月,一日中
42,ジンメンカメムシ,images/ジンメンカメムシ.png,花の上,みかける,1000ベル,3~10月,1~4月、9~12月,"0~8時,19~24時"
43,テントウムシ,images/テントウムシ.png,花の上,よくみかける,200ベル,3~6月、10月,4月、9~12月,8~17時
44,ハンミョウ,images/ハンミョウ.png,地上,よくみかける,1500ベル,2~10月,1~4月、8~12月,一日中
45,タマムシ,images/タマムシ.png,切り株の上,よくみかける,2400ベル,4~8月,1~2月、10~12月,一日中
46,バイオリンムシ,images/バイオリンムシ.png,切り株の上,あまりみかけない,450ベル,5~6月、9~11月,3~5月、11~12月,一日中
47,ゴマダラカミキリ,images/ゴマダラカミキリ.png,切り株の上,よくみかける,350ベル,1年中,1年中,一日中
48,ルリボシカミキリ,images/ルリボシカミキリ.png,切り株の上,あまりみかけない,3000ベル,5~9月,1~3月、12月,一日中
49,ホウセキゾウムシ,images/ホウセキゾウムシ.png,ヤシの木,みかける,800ベル,7~8月,1~2月,一日中
50,フンコロガシ,images/フンコロガシ.png,雪玉を転がしている,みかける,3000ベル,1~2月、12月,6~8月,一日中
51,オオセンチコガネ,images/オオセンチコガネ.png,地上,よくみかける,300ベル,7~9月,1~3月,一日中
52,プラチナコガネ,images/プラチナコガネ.png,木/ヤシの木,あまりみかけない,10000ベル,7~8月,1~2月,"0~8時,23~24時"
53,カナブン,images/カナブン.png,木/ヤシの木,よくみかける,200ベル,6~8月,1~2月、12月,一日中
54,ゴライアスオオツノハナムグリ,images/ゴライアスオオツノハナムグリ.png,ヤシの木,あまりみかけない,8000ベル,6~9月,1~3月、12月,"0~8時,17~24時"
55,ノコギリクワガタ,images/ノコギリクワガタ.png,木/ヤシの木,みかける,2000ベル,7~8月,1~2月,一日中
56,ミヤマクワガタ,images/ミヤマクワガタ.png,木/ヤシの木,よくみかける,1000ベル,7~8月,1~2月,一日中
57,オオクワガタ,images/オオクワガタ.png,木/ヤシの木,あまりみかけない,10000ベル,7~8月,1~2月,"0~8時,23~24時"
58,ニジイロクワガタ,images/ニジイロクワガタ.png,木/ヤシの木,みかける,6000ベル,6~9月,1~3月、12月,"0~8時,19~24時"
59,ホソアカクワガタ,images/ホソアカクワガタ.png,ヤシの木,あまりみかけない,8000ベル,7~8月,1~2月,"0~8時,17~24時"
60,オウゴンオニクワガタ,images/オウゴンオニクワガタ.png,ヤシの木,めったにみかけない,12000ベル,7~8月,1~2月,"0~8時,17~24時"
61,ギラファノコギリクワガタ,images/ギラファノコギリクワガタ.png,ヤシの木,めったにみかけない,12000ベル,7~8月,1~2月,"0~8時,17~24時"
62,カブトムシ,images/カブトムシ.png,木/ヤシの木,よくみかける,1350ベル,7~8月,1~2月,"0~8時,17~24時"
63,コーカサスオオカブト,images/コーカサスオオカブト.png,ヤシの木,あまりみかけない,8000ベル,7~8月,1~2月,"0~8時,17~24時"
64,ゾウカブト,images/ゾウカブト.png,ヤシの木,あまりみかけない,8000ベル,7~8月,1~2月,"0~8時,17~24時"
65,ヘラクレスオオカブト,images/ヘラクレスオオカブト.png,ヤシの木,めったにみかけない,12000ベル,7~8月,1~2月,"0~8時,17~24時"
66,ナナフシ,images/ナナフシ.png,木,めったにみかけない,600ベル,7~11月,1~5月,"4~8時,17~19時"
67,コノハムシ,images/コノハムシ.png,家具マークに擬態,みかける,600ベル,7~9月,1~3月,一日中
68,ミノムシ,images/ミノムシ.png,木を揺すると出現,みかける,600ベル,1年中,1年中,一日中
69,アリ,images/アリ.png,地上,みかける,80ベル,1年中,1年中,一日中
70,ヤドカリ,images/ヤドカリ.png,地上(貝がらに擬態),よくみかける,1000ベル,1年中,1年中,"0~8時,19~24時"
71,フナムシ,images/フナムシ.png,岩礁(海岸の岩),みかける,200ベル,1年中,1年中,一日中
72,ハエ,images/ハエ.png,空中,あまりみかけない,60ベル,1年中,1年中,一日中
73,カ,images/カ.png,空中,みかける,130ベル,6~9月,1~3月、12月,"0~4時,17~24時"
74,ノミ,images/ノミ.png,住民の体,あまりみかけない,70ベル,4~11月,1~5月、10~12月,一日中
75,カタツムリ,images/カタツムリ.png,石の上,よくみかける,250ベル,1年中,1年中,一日中
76,ダンゴムシ,images/ダンゴムシ.png,石を叩くと出現,よくみかける,250ベル,1~6月、9~12月,3~12月,"0~16時,23~24時"
77,ムカデ,images/ムカデ.png,石を叩くと出現,みかける,300ベル,1~6月、9~12月,3~12月,16~23時
78,クモ,images/クモ.png,木を揺すると出現,みかける,600ベル,1年中,1年中,"0~8時,19~24時"
79,タランチュラ,images/タランチュラ.png,地上,あまりみかけない,8000ベル,1~4月、11~12月,5~10月,"0~4時,19~24時"
80,サソリ,images/サソリ.png,地上,あまりみかけない,8000ベル,5~10月,1~4月、11~12月,"0~4時,19~24時"
